Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000101746	ENSG00000133302	g	g.AD_TCX	0.54
ENSG00000091157	ENSG00000133302	a	a	0.56
ENSG00000088888	ENSG00000133302	a	a	-0.55
ENSG00000101247	ENSG00000133302	g	g.AD_TCX	0.54
ENSG00000011304	ENSG00000133302	a	a	-0.53
ENSG00000071564	ENSG00000133302	a	a	-0.55
ENSG00000100077	ENSG00000133302	a	a	0.53
ENSG00000100320	ENSG00000133302	a	a	0.54
ENSG00000177674	ENSG00000133302	g	g.AD_TCX	-0.51
ENSG00000144290	ENSG00000133302	a	a	0.55
ENSG00000138814	ENSG00000133302	a	a	0.55
ENSG00000055070	ENSG00000153956	a	a	-0.55
ENSG00000120942	ENSG00000153956	g	g.AD_TCX	-0.53
ENSG00000075945	ENSG00000153956	g	g.AD_TCX	0.55
ENSG00000075391	ENSG00000153956	g	g.AD_TCX	0.52
ENSG00000116141	ENSG00000153956	a	a	0.53
ENSG00000055813	ENSG00000153956	a	a	0.55
ENSG00000115419	ENSG00000153956	g	g.AD_TCX	0.54
ENSG00000115415	ENSG00000153956	g	g.AD_TCX	0.52
ENSG00000114948	ENSG00000153956	g	g.AD_TCX	0.54
ENSG00000082701	ENSG00000153956	g	g.AD_TCX	0.54
ENSG00000109339	ENSG00000153956	a	a	0.53
ENSG00000109670	ENSG00000153956	g	g.AD_TCX	0.53
ENSG00000120251	ENSG00000153956	g	g.AD_TCX	0.53
ENSG00000105784	ENSG00000153956	g	g.AD_TCX	0.53
ENSG00000008277	ENSG00000153956	g	g.AD_TCX	0.54
ENSG00000058091	ENSG00000153956	a	a	0.54
ENSG00000072133	ENSG00000153956	a	a	0.54
ENSG00000104723	ENSG00000153956	g	g.AD_TCX	0.55
ENSG00000104388	ENSG00000153956	g	g.AD_TCX	0.52
ENSG00000040341	ENSG00000153956	g	g.AD_TCX	0.54
ENSG00000104381	ENSG00000153956	a	a	0.54
ENSG00000111728	ENSG00000153956	a	a	0.52
ENSG00000104093	ENSG00000153956	g	g.AD_TCX	0.54
ENSG00000087095	ENSG00000153956	a	a	0.54
ENSG00000101746	ENSG00000153956	a	a	0.53
ENSG00000091157	ENSG00000153956	g	g.AD_TCX	0.56
ENSG00000088888	ENSG00000153956	g	g.AD_TCX	-0.55
ENSG00000101247	ENSG00000153956	g	g.AD_TCX	0.52
ENSG00000071564	ENSG00000153956	g	g.AD_TCX	-0.54
ENSG00000100077	ENSG00000153956	g	g.AD_TCX	0.53
ENSG00000100320	ENSG00000153956	g	g.AD_TCX	0.51
ENSG00000177674	ENSG00000153956	g	g.AD_TCX	-0.5
ENSG00000144290	ENSG00000153956	g	g.AD_TCX	0.53
ENSG00000138814	ENSG00000153956	g	g.AD_TCX	0.54
ENSG00000133302	ENSG00000153956	g	g.AD_TCX	0.55
ENSG00000055070	ENSG00000148925	g	g.AD_TCX	-0.54
ENSG00000120942	ENSG00000148925	g	g.AD_TCX	-0.53
ENSG00000075945	ENSG00000148925	a	a	0.56
ENSG00000115419	ENSG00000148925	a	a	0.56
ENSG00000115415	ENSG00000148925	a	a	0.56
ENSG00000114948	ENSG00000148925	g	g.AD_TCX	0.55
ENSG00000082701	ENSG00000148925	g	g.AD_TCX	0.53
ENSG00000109339	ENSG00000148925	g	g.AD_TCX	0.54
ENSG00000109670	ENSG00000148925	a	a	0.56
ENSG00000120251	ENSG00000148925	g	g.AD_TCX	0.56
ENSG00000105784	ENSG00000148925	g	g.AD_TCX	0.54
ENSG00000008277	ENSG00000148925	g	g.AD_TCX	0.56
ENSG00000058091	ENSG00000148925	g	g.AD_TCX	0.53
ENSG00000072133	ENSG00000148925	g	g.AD_TCX	0.54
ENSG00000104723	ENSG00000148925	g	g.AD_TCX	0.55
ENSG00000047249	ENSG00000148925	g	g.AD_TCX	0.55
ENSG00000104388	ENSG00000148925	a	a	0.55
ENSG00000040341	ENSG00000148925	g	g.AD_TCX	0.55
ENSG00000104381	ENSG00000148925	g	g.AD_TCX	0.53
ENSG00000104093	ENSG00000148925	a	a	0.56
ENSG00000103769	ENSG00000148925	g	g.AD_TCX	0.55
ENSG00000087095	ENSG00000148925	g	g.AD_TCX	0.54
ENSG00000101746	ENSG00000148925	g	g.AD_TCX	0.53
ENSG00000091157	ENSG00000148925	g	g.AD_TCX	0.56
ENSG00000101247	ENSG00000148925	a	a	0.55
ENSG00000011304	ENSG00000148925	g	g.AD_TCX	-0.52
ENSG00000071564	ENSG00000148925	g	g.AD_TCX	-0.54
ENSG00000100320	ENSG00000148925	g	g.AD_TCX	0.54
ENSG00000177674	ENSG00000148925	g	g.AD_TCX	-0.52
ENSG00000144290	ENSG00000148925	g	g.AD_TCX	0.55
ENSG00000138814	ENSG00000148925	g	g.AD_TCX	0.56
ENSG00000133302	ENSG00000148925	g	g.AD_TCX	0.56
ENSG00000153956	ENSG00000148925	g	g.AD_TCX	0.54
ENSG00000055070	ENSG00000166987	g	g.AD_TCX	0.55
ENSG00000120942	ENSG00000166987	g	g.AD_TCX	0.55
ENSG00000075945	ENSG00000166987	a	a	-0.56
ENSG00000075391	ENSG00000166987	g	g.AD_TCX	-0.52
ENSG00000116141	ENSG00000166987	g	g.AD_TCX	-0.52
ENSG00000055813	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000115419	ENSG00000166987	a	a	-0.54
ENSG00000115415	ENSG00000166987	g	g.AD_TCX	-0.53
ENSG00000114948	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000082701	ENSG00000166987	a	a	-0.55
ENSG00000109339	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000109670	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000120251	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000105784	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000008277	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000058091	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000072133	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000104723	ENSG00000166987	a	a	-0.55
ENSG00000047249	ENSG00000166987	g	g.AD_TCX	-0.53
ENSG00000104388	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000040341	ENSG00000166987	a	a	-0.55
ENSG00000104381	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000104472	ENSG00000166987	g	g.AD_TCX	0.53
ENSG00000111728	ENSG00000166987	g	g.AD_TCX	-0.53
ENSG00000118308	ENSG00000166987	g	g.AD_TCX	-0.53
ENSG00000104093	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000103769	ENSG00000166987	g	g.AD_TCX	-0.53
ENSG00000087095	ENSG00000166987	a	a	-0.53
ENSG00000101746	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000091157	ENSG00000166987	g	g.AD_TCX	-0.55
ENSG00000088888	ENSG00000166987	a	a	0.56
ENSG00000101247	ENSG00000166987	a	a	-0.53
ENSG00000011304	ENSG00000166987	a	a	0.54
ENSG00000071564	ENSG00000166987	g	g.AD_TCX	0.55
ENSG00000100077	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000100320	ENSG00000166987	a	a	-0.52
ENSG00000177674	ENSG00000166987	g	g.AD_TCX	0.51
ENSG00000144290	ENSG00000166987	a	a	-0.54
ENSG00000138814	ENSG00000166987	a	a	-0.54
ENSG00000133302	ENSG00000166987	a	a	-0.55
ENSG00000153956	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000148925	ENSG00000166987	g	g.AD_TCX	-0.54
ENSG00000055070	ENSG00000109066	g	g.AD_TCX	0.55
ENSG00000075945	ENSG00000109066	a	a	-0.56
ENSG00000116141	ENSG00000109066	g	g.AD_TCX	-0.53
ENSG00000055813	ENSG00000109066	g	g.AD_TCX	-0.54
ENSG00000115419	ENSG00000109066	a	a	-0.55
ENSG00000115415	ENSG00000109066	a	a	-0.54
ENSG00000114948	ENSG00000109066	g	g.AD_TCX	-0.54
ENSG00000082701	ENSG00000109066	g	g.AD_TCX	-0.55
ENSG00000109339	ENSG00000109066	g	g.AD_TCX	-0.53
ENSG00000109670	ENSG00000109066	a	a	-0.54
ENSG00000120251	ENSG00000109066	g	g.AD_TCX	-0.54
ENSG00000105784	ENSG00000109066	g	g.AD_TCX	-0.53
ENSG00000008277	ENSG00000109066	g	g.AD_TCX	-0.54
ENSG00000058091	ENSG00000109066	g	g.AD_TCX	-0.54
ENSG00000072133	ENSG00000109066	g	g.AD_TCX	-0.53
ENSG00000104723	ENSG00000109066	a	a	-0.56
ENSG00000047249	ENSG00000109066	g	g.AD_TCX	-0.53
ENSG00000104388	ENSG00000109066	g	g.AD_TCX	-0.54
ENSG00000040341	ENSG00000109066	a	a	-0.55
ENSG00000104381	ENSG00000109066	g	g.AD_TCX	-0.54
ENSG00000118308	ENSG00000109066	g	g.AD_TCX	-0.52
ENSG00000104093	ENSG00000109066	g	g.AD_TCX	-0.54
ENSG00000103769	ENSG00000109066	g	g.AD_TCX	-0.53
ENSG00000087095	ENSG00000109066	g	g.AD_TCX	-0.53
ENSG00000101746	ENSG00000109066	g	g.AD_TCX	-0.53
ENSG00000091157	ENSG00000109066	g	g.AD_TCX	-0.55
ENSG00000088888	ENSG00000109066	a	a	0.55
ENSG00000101247	ENSG00000109066	a	a	-0.53
ENSG00000100077	ENSG00000109066	g	g.AD_TCX	-0.54
ENSG00000100320	ENSG00000109066	a	a	-0.53
ENSG00000177674	ENSG00000109066	g	g.AD_TCX	0.51
ENSG00000144290	ENSG00000109066	a	a	-0.54
ENSG00000138814	ENSG00000109066	a	a	-0.54
ENSG00000133302	ENSG00000109066	a	a	-0.55
ENSG00000153956	ENSG00000109066	g	g.AD_TCX	-0.54
ENSG00000148925	ENSG00000109066	a	a	-0.55
ENSG00000166987	ENSG00000109066	a	a	0.55
ENSG00000055070	ENSG00000100106	g	g.AD_TCX	0.54
ENSG00000075945	ENSG00000100106	a	a	-0.55
ENSG00000115419	ENSG00000100106	a	a	-0.55
ENSG00000115415	ENSG00000100106	g	g.AD_TCX	-0.52
ENSG00000114948	ENSG00000100106	g	g.AD_TCX	-0.52
ENSG00000082701	ENSG00000100106	g	g.AD_TCX	-0.52
ENSG00000109339	ENSG00000100106	g	g.AD_TCX	-0.52
ENSG00000109670	ENSG00000100106	g	g.AD_TCX	-0.53
ENSG00000120251	ENSG00000100106	g	g.AD_TCX	-0.54
ENSG00000008277	ENSG00000100106	a	a	-0.54
ENSG00000058091	ENSG00000100106	g	g.AD_TCX	-0.53
ENSG00000072133	ENSG00000100106	g	g.AD_TCX	-0.53
ENSG00000104723	ENSG00000100106	g	g.AD_TCX	-0.54
ENSG00000047249	ENSG00000100106	g	g.AD_TCX	-0.51
ENSG00000040341	ENSG00000100106	g	g.AD_TCX	-0.54
ENSG00000104381	ENSG00000100106	g	g.AD_TCX	-0.52
ENSG00000087095	ENSG00000100106	g	g.AD_TCX	-0.52
ENSG00000091157	ENSG00000100106	a	a	-0.55
ENSG00000088888	ENSG00000100106	a	a	0.54
ENSG00000100077	ENSG00000100106	g	g.AD_TCX	-0.51
ENSG00000100320	ENSG00000100106	g	g.AD_TCX	-0.51
ENSG00000177674	ENSG00000100106	g	g.AD_TCX	0.52
ENSG00000144290	ENSG00000100106	g	g.AD_TCX	-0.53
ENSG00000138814	ENSG00000100106	a	a	-0.54
ENSG00000133302	ENSG00000100106	g	g.AD_TCX	-0.54
ENSG00000153956	ENSG00000100106	g	g.AD_TCX	-0.53
ENSG00000148925	ENSG00000100106	g	g.AD_TCX	-0.55
ENSG00000166987	ENSG00000100106	g	g.AD_TCX	0.54
ENSG00000109066	ENSG00000100106	a	a	0.54
ENSG00000091157	ENSG00000162496	g	g.AD_TCX	-0.51
ENSG00000055070	ENSG00000142875	g	g.AD_TCX	-0.52
ENSG00000075945	ENSG00000142875	a	a	0.57
ENSG00000115419	ENSG00000142875	a	a	0.56
ENSG00000115415	ENSG00000142875	a	a	0.55
ENSG00000114948	ENSG00000142875	g	g.AD_TCX	0.54
ENSG00000082701	ENSG00000142875	g	g.AD_TCX	0.53
ENSG00000109339	ENSG00000142875	g	g.AD_TCX	0.52
ENSG00000109670	ENSG00000142875	g	g.AD_TCX	0.55
ENSG00000120251	ENSG00000142875	g	g.AD_TCX	0.55
ENSG00000008277	ENSG00000142875	g	g.AD_TCX	0.55
ENSG00000072133	ENSG00000142875	g	g.AD_TCX	0.52
ENSG00000104723	ENSG00000142875	g	g.AD_TCX	0.54
ENSG00000047249	ENSG00000142875	a	a	0.54
ENSG00000104388	ENSG00000142875	a	a	0.56
ENSG00000040341	ENSG00000142875	g	g.AD_TCX	0.54
ENSG00000104381	ENSG00000142875	g	g.AD_TCX	0.52
ENSG00000104093	ENSG00000142875	a	a	0.55
ENSG00000103769	ENSG00000142875	a	a	0.55
ENSG00000087095	ENSG00000142875	g	g.AD_TCX	0.52
ENSG00000091157	ENSG00000142875	g	g.AD_TCX	0.55
ENSG00000088888	ENSG00000142875	g	g.AD_TCX	-0.53
ENSG00000101247	ENSG00000142875	g	g.AD_TCX	0.54
ENSG00000071564	ENSG00000142875	g	g.AD_TCX	-0.53
ENSG00000144290	ENSG00000142875	g	g.AD_TCX	0.54
ENSG00000138814	ENSG00000142875	g	g.AD_TCX	0.55
ENSG00000133302	ENSG00000142875	g	g.AD_TCX	0.55
ENSG00000153956	ENSG00000142875	g	g.AD_TCX	0.52
ENSG00000148925	ENSG00000142875	a	a	0.56
ENSG00000166987	ENSG00000142875	g	g.AD_TCX	-0.54
ENSG00000109066	ENSG00000142875	g	g.AD_TCX	-0.54
ENSG00000100106	ENSG00000142875	g	g.AD_TCX	-0.53
ENSG00000055070	ENSG00000033122	g	g.AD_TCX	-0.53
ENSG00000082701	ENSG00000033122	g	g.AD_TCX	0.51
ENSG00000104723	ENSG00000033122	g	g.AD_TCX	0.53
ENSG00000088888	ENSG00000033122	g	g.AD_TCX	-0.52
ENSG00000133302	ENSG00000033122	g	g.AD_TCX	0.53
ENSG00000153956	ENSG00000033122	g	g.AD_TCX	0.52
ENSG00000055070	ENSG00000015568	a	a	-0.54
ENSG00000075945	ENSG00000015568	a	a	0.54
ENSG00000115419	ENSG00000015568	g	g.AD_TCX	0.54
ENSG00000082701	ENSG00000015568	a	a	0.52
ENSG00000109339	ENSG00000015568	g	g.AD_TCX	0.52
ENSG00000109670	ENSG00000015568	g	g.AD_TCX	0.53
ENSG00000120251	ENSG00000015568	a	a	0.53
ENSG00000008277	ENSG00000015568	a	a	0.53
ENSG00000058091	ENSG00000015568	g	g.AD_TCX	0.52
ENSG00000072133	ENSG00000015568	a	a	0.53
ENSG00000104723	ENSG00000015568	a	a	0.53
ENSG00000047249	ENSG00000015568	g	g.AD_TCX	0.51
ENSG00000040341	ENSG00000015568	a	a	0.52
ENSG00000104381	ENSG00000015568	g	g.AD_TCX	0.51
ENSG00000104093	ENSG00000015568	a	a	0.53
ENSG00000091157	ENSG00000015568	a	a	0.54
ENSG00000088888	ENSG00000015568	a	a	-0.52
ENSG00000138814	ENSG00000015568	g	g.AD_TCX	0.53
ENSG00000133302	ENSG00000015568	a	a	0.54
ENSG00000153956	ENSG00000015568	g	g.AD_TCX	0.53
ENSG00000148925	ENSG00000015568	g	g.AD_TCX	0.54
ENSG00000166987	ENSG00000015568	g	g.AD_TCX	-0.52
ENSG00000100106	ENSG00000015568	g	g.AD_TCX	-0.52
ENSG00000142875	ENSG00000015568	g	g.AD_TCX	0.51
ENSG00000055070	ENSG00000003393	g	g.AD_TCX	-0.54
ENSG00000075945	ENSG00000003393	g	g.AD_TCX	0.55
ENSG00000075391	ENSG00000003393	g	g.AD_TCX	0.51
ENSG00000116141	ENSG00000003393	g	g.AD_TCX	0.52
ENSG00000055813	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000115419	ENSG00000003393	g	g.AD_TCX	0.55
ENSG00000115415	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000114948	ENSG00000003393	g	g.AD_TCX	0.54
ENSG00000082701	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000109339	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000109670	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000120251	ENSG00000003393	a	a	0.54
ENSG00000105784	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000008277	ENSG00000003393	a	a	0.55
ENSG00000058091	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000072133	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000104723	ENSG00000003393	a	a	0.54
ENSG00000047249	ENSG00000003393	g	g.AD_TCX	0.52
ENSG00000104388	ENSG00000003393	g	g.AD_TCX	0.51
ENSG00000040341	ENSG00000003393	g	g.AD_TCX	0.54
ENSG00000104381	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000104093	ENSG00000003393	g	g.AD_TCX	0.55
ENSG00000103769	ENSG00000003393	g	g.AD_TCX	0.51
ENSG00000087095	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000101746	ENSG00000003393	g	g.AD_TCX	0.52
ENSG00000091157	ENSG00000003393	a	a	0.55
ENSG00000088888	ENSG00000003393	a	a	-0.53
ENSG00000101247	ENSG00000003393	g	g.AD_TCX	0.52
ENSG00000100077	ENSG00000003393	g	g.AD_TCX	0.52
ENSG00000100320	ENSG00000003393	g	g.AD_TCX	0.52
ENSG00000144290	ENSG00000003393	g	g.AD_TCX	0.54
ENSG00000138814	ENSG00000003393	g	g.AD_TCX	0.54
ENSG00000133302	ENSG00000003393	a	a	0.55
ENSG00000153956	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000148925	ENSG00000003393	g	g.AD_TCX	0.55
ENSG00000166987	ENSG00000003393	g	g.AD_TCX	-0.54
ENSG00000142875	ENSG00000003393	g	g.AD_TCX	0.53
ENSG00000055070	ENSG00000051382	g	g.AD_TCX	-0.54
ENSG00000075945	ENSG00000051382	g	g.AD_TCX	0.54
ENSG00000115419	ENSG00000051382	g	g.AD_TCX	0.54
ENSG00000082701	ENSG00000051382	g	g.AD_TCX	0.54
ENSG00000109339	ENSG00000051382	a	a	0.53
ENSG00000120251	ENSG00000051382	g	g.AD_TCX	0.52
ENSG00000008277	ENSG00000051382	g	g.AD_TCX	0.53
ENSG00000104723	ENSG00000051382	g	g.AD_TCX	0.54
ENSG00000040341	ENSG00000051382	g	g.AD_TCX	0.54
ENSG00000104093	ENSG00000051382	g	g.AD_TCX	0.53
ENSG00000087095	ENSG00000051382	a	a	0.52
ENSG00000091157	ENSG00000051382	a	a	0.55
ENSG00000088888	ENSG00000051382	a	a	-0.54
ENSG00000133302	ENSG00000051382	a	a	0.54
ENSG00000153956	ENSG00000051382	g	g.AD_TCX	0.53
ENSG00000148925	ENSG00000051382	g	g.AD_TCX	0.53
ENSG00000166987	ENSG00000051382	g	g.AD_TCX	-0.53
ENSG00000109066	ENSG00000051382	g	g.AD_TCX	-0.53
ENSG00000015568	ENSG00000051382	a	a	0.51
ENSG00000003393	ENSG00000051382	g	g.AD_TCX	0.52
ENSG00000055070	ENSG00000040731	g	g.AD_TCX	-0.54
ENSG00000075945	ENSG00000040731	g	g.AD_TCX	0.55
ENSG00000115419	ENSG00000040731	g	g.AD_TCX	0.54
ENSG00000115415	ENSG00000040731	g	g.AD_TCX	0.52
ENSG00000082701	ENSG00000040731	g	g.AD_TCX	0.53
ENSG00000109339	ENSG00000040731	g	g.AD_TCX	0.52
ENSG00000109670	ENSG00000040731	g	g.AD_TCX	0.53
ENSG00000120251	ENSG00000040731	g	g.AD_TCX	0.53
ENSG00000008277	ENSG00000040731	g	g.AD_TCX	0.54
ENSG00000072133	ENSG00000040731	a	a	0.53
ENSG00000104723	ENSG00000040731	g	g.AD_TCX	0.55
ENSG00000040341	ENSG00000040731	g	g.AD_TCX	0.54
ENSG00000104381	ENSG00000040731	g	g.AD_TCX	0.53
ENSG00000104093	ENSG00000040731	g	g.AD_TCX	0.54
ENSG00000101746	ENSG00000040731	a	a	0.52
ENSG00000091157	ENSG00000040731	g	g.AD_TCX	0.55
ENSG00000088888	ENSG00000040731	g	g.AD_TCX	-0.54
ENSG00000071564	ENSG00000040731	g	g.AD_TCX	-0.53
ENSG00000144290	ENSG00000040731	g	g.AD_TCX	0.53
ENSG00000138814	ENSG00000040731	g	g.AD_TCX	0.54
ENSG00000133302	ENSG00000040731	g	g.AD_TCX	0.54
ENSG00000153956	ENSG00000040731	a	a	0.53
ENSG00000148925	ENSG00000040731	g	g.AD_TCX	0.54
ENSG00000166987	ENSG00000040731	g	g.AD_TCX	-0.53
ENSG00000109066	ENSG00000040731	g	g.AD_TCX	-0.53
ENSG00000100106	ENSG00000040731	g	g.AD_TCX	-0.51
ENSG00000142875	ENSG00000040731	g	g.AD_TCX	0.52
ENSG00000055070	ENSG00000054598	g	g.AD_TCX	0.51
ENSG00000055070	ENSG00000029639	g	g.AD_TCX	-0.51
ENSG00000088888	ENSG00000029639	a	a	-0.51
ENSG00000055070	ENSG00000048052	g	g.AD_TCX	-0.52
ENSG00000088888	ENSG00000048052	g	g.AD_TCX	-0.53
ENSG00000055070	ENSG00000005020	g	g.AD_TCX	-0.52
ENSG00000088888	ENSG00000005020	g	g.AD_TCX	-0.52
ENSG00000055070	ENSG00000004766	a	a	-0.54
ENSG00000075945	ENSG00000004766	a	a	0.56
ENSG00000055813	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000115419	ENSG00000004766	a	a	0.54
ENSG00000115415	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000114948	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000082701	ENSG00000004766	a	a	0.55
ENSG00000109339	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000109670	ENSG00000004766	a	a	0.54
ENSG00000120251	ENSG00000004766	a	a	0.54
ENSG00000105784	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000008277	ENSG00000004766	a	a	0.55
ENSG00000058091	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000072133	ENSG00000004766	g	g.AD_TCX	0.53
ENSG00000104723	ENSG00000004766	a	a	0.55
ENSG00000047249	ENSG00000004766	g	g.AD_TCX	0.52
ENSG00000104388	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000040341	ENSG00000004766	a	a	0.55
ENSG00000104381	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000111728	ENSG00000004766	g	g.AD_TCX	0.52
ENSG00000118308	ENSG00000004766	a	a	0.51
ENSG00000104093	ENSG00000004766	a	a	0.55
ENSG00000103769	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000087095	ENSG00000004766	g	g.AD_TCX	0.53
ENSG00000091157	ENSG00000004766	a	a	0.56
ENSG00000088888	ENSG00000004766	a	a	-0.55
ENSG00000101247	ENSG00000004766	a	a	0.54
ENSG00000071564	ENSG00000004766	a	a	-0.55
ENSG00000100077	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000144290	ENSG00000004766	a	a	0.53
ENSG00000138814	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000133302	ENSG00000004766	a	a	0.55
ENSG00000153956	ENSG00000004766	g	g.AD_TCX	0.55
ENSG00000148925	ENSG00000004766	a	a	0.55
ENSG00000166987	ENSG00000004766	g	g.AD_TCX	-0.55
ENSG00000109066	ENSG00000004766	g	g.AD_TCX	-0.55
ENSG00000100106	ENSG00000004766	g	g.AD_TCX	-0.53
ENSG00000142875	ENSG00000004766	g	g.AD_TCX	0.55
ENSG00000051382	ENSG00000004766	g	g.AD_TCX	0.54
ENSG00000055070	ENSG00000006530	a	a	-0.55
ENSG00000075945	ENSG00000006530	a	a	0.55
ENSG00000075391	ENSG00000006530	g	g.AD_TCX	0.53
ENSG00000116141	ENSG00000006530	g	g.AD_TCX	0.53
ENSG00000055813	ENSG00000006530	a	a	0.55
ENSG00000115419	ENSG00000006530	g	g.AD_TCX	0.53
ENSG00000115415	ENSG00000006530	g	g.AD_TCX	0.52
ENSG00000114948	ENSG00000006530	a	a	0.54
ENSG00000082701	ENSG00000006530	a	a	0.55
ENSG00000109339	ENSG00000006530	a	a	0.54
ENSG00000109670	ENSG00000006530	g	g.AD_TCX	0.53
ENSG00000120251	ENSG00000006530	a	a	0.52
ENSG00000105784	ENSG00000006530	g	g.AD_TCX	0.54
ENSG00000008277	ENSG00000006530	a	a	0.54
ENSG00000058091	ENSG00000006530	a	a	0.55
ENSG00000072133	ENSG00000006530	g	g.AD_TCX	0.54
ENSG00000104723	ENSG00000006530	a	a	0.56
ENSG00000104388	ENSG00000006530	g	g.AD_TCX	0.53
ENSG00000040341	ENSG00000006530	a	a	0.55
ENSG00000104381	ENSG00000006530	a	a	0.55
ENSG00000111728	ENSG00000006530	a	a	0.54
ENSG00000118308	ENSG00000006530	a	a	0.53
ENSG00000104093	ENSG00000006530	a	a	0.54
ENSG00000103769	ENSG00000006530	g	g.AD_TCX	0.52
ENSG00000087095	ENSG00000006530	a	a	0.54
ENSG00000101746	ENSG00000006530	g	g.AD_TCX	0.54
ENSG00000091157	ENSG00000006530	a	a	0.55
ENSG00000088888	ENSG00000006530	a	a	-0.56
ENSG00000101247	ENSG00000006530	g	g.AD_TCX	0.53
ENSG00000071564	ENSG00000006530	a	a	-0.55
ENSG00000100077	ENSG00000006530	a	a	0.55
ENSG00000138814	ENSG00000006530	a	a	0.54
ENSG00000133302	ENSG00000006530	a	a	0.55
ENSG00000153956	ENSG00000006530	g	g.AD_TCX	0.55
ENSG00000166987	ENSG00000006530	g	g.AD_TCX	-0.55
ENSG00000109066	ENSG00000006530	g	g.AD_TCX	-0.55
ENSG00000100106	ENSG00000006530	a	a	-0.53
ENSG00000142875	ENSG00000006530	g	g.AD_TCX	0.52
ENSG00000051382	ENSG00000006530	a	a	0.54
ENSG00000040731	ENSG00000006530	g	g.AD_TCX	0.53
ENSG00000005020	ENSG00000006530	g	g.AD_TCX	0.52
ENSG00000004766	ENSG00000006530	a	a	0.54
ENSG00000055070	ENSG00000002933	a	a	0.52
ENSG00000055070	ENSG00000050030	a	a	-0.52
ENSG00000120251	ENSG00000050030	a	a	0.53
ENSG00000104723	ENSG00000050030	a	a	0.54
ENSG00000091157	ENSG00000050030	a	a	0.53
ENSG00000088888	ENSG00000050030	a	a	-0.52
ENSG00000071564	ENSG00000050030	g	g.AD_TCX	-0.51
ENSG00000133302	ENSG00000050030	a	a	0.53
ENSG00000109066	ENSG00000050030	g	g.AD_TCX	-0.52
ENSG00000055070	ENSG00000025434	g	g.AD_TCX	0.53
ENSG00000082701	ENSG00000025434	g	g.AD_TCX	-0.53
ENSG00000091157	ENSG00000025434	a	a	-0.53
ENSG00000088888	ENSG00000025434	a	a	0.54
ENSG00000071564	ENSG00000025434	a	a	0.54
ENSG00000153956	ENSG00000025434	g	g.AD_TCX	-0.51
ENSG00000166987	ENSG00000025434	g	g.AD_TCX	0.52
ENSG00000006530	ENSG00000025434	a	a	-0.53
ENSG00000055070	ENSG00000021300	a	a	0.53
ENSG00000082701	ENSG00000021300	g	g.AD_TCX	-0.51
ENSG00000091157	ENSG00000021300	g	g.AD_TCX	-0.52
ENSG00000088888	ENSG00000021300	g	g.AD_TCX	0.53
ENSG00000055070	ENSG00000015153	g	g.AD_TCX	-0.52
ENSG00000082701	ENSG00000015153	g	g.AD_TCX	0.53
ENSG00000109339	ENSG00000015153	g	g.AD_TCX	0.52
ENSG00000104723	ENSG00000015153	g	g.AD_TCX	0.53
ENSG00000091157	ENSG00000015153	g	g.AD_TCX	0.54
ENSG00000088888	ENSG00000015153	g	g.AD_TCX	-0.53
ENSG00000071564	ENSG00000015153	g	g.AD_TCX	-0.52
ENSG00000133302	ENSG00000015153	g	g.AD_TCX	0.52
